Drug	Original Target	Source	Target	Trade name	Type	Use	Tissue	Tissue Hits	Supporting Evidence	Notes	
Durvalumab[53]		human	CD274		mab	cancer		Lung, Bladder	A phase 1B clinical trial of durvalumab and tremelimumab showed some activity in non-small cell lung cancer (NSCLC).[4] Phase 1 data in advanced metastatic urothelial bladder (Study 1108) has led to FDA breakthrough therapy designation.[5] Early results of a phase I trial combining durvalumab and gefitinib in lung cancer patients "showed promise".In July 2017, AstraZeneca announced that a phase III trial of durvalumab with tremelimumab as a first-line treatment of non-small cell lung cancer failed to meet its primary endpoint of progression-free survival.^ "Astrazeneca’s combination of durvalumab with tremelimumab shows clinical activity in non-small cell lung cancer irrespective of PD-L1 status.^ "Promising Drug for Lung Cancer and Mesothelioma Patients".^ "AstraZeneca reports initial results from the ongoing MYSTIC trial in Stage IV lung cancer"		
Dusigitumab[54]	ILGF2	human	IGF2		mab	cancer		Blood	Dacetuzumab (also known as SGN-40 or huS2C6) is a humanized monoclonal antibody[1] being developed for the treatment of CD40-positive cancers like non-Hodgkin's lymphoma[2] and hematological malignancies. "Phase I Study of the Humanized Anti-CD40 Monoclonal Antibody Dacetuzumab in Refractory or Recurrent Non-Hodgkin's Lymphoma"		
Ecromeximab[17]	GD3 ganglioside	chimeric	ST8SIA1		mab	malignant melanoma		Skin-Head	Ecromeximab is a chimeric monoclonal antibody being developed for the treatment of malignant melanoma.^ Clinical trial number NCT00679289 for "Phase II Study of KW2871 Combined With High Dose Interferon-alpha2b in Patients With Metastatic Cutaneous Melanoma" at ClinicalTrials		
Elgemtumab[20]	ERBB3 (HER3)	human	ERBB3		mab	cancer		Blood	Dalotuzumab is a humanized monoclonal antibody designed for the treatment of cancers.Leukemia inhibitory factor (LIF)		
Elotuzumab		humanized	SLAMF7		mab	multiple myeloma		Blood	Daratumumab (trade name Darzalex) is an anti-cancer drug. It was awarded orphan drug status for multiple myeloma, diffuse large B cell lymphoma, follicular lymphoma, and mantle cell lymphoma		
Emactuzumab[23]		humanized	CSF1R		mab	cancer		cancer	Emactuzumab (INN) (RG-7155) is a humanized monoclonal antibody designed for the treatment of cancer		
Emibetuzumab[57]	HHGFR	humanized	MET		mab	cancer		Blood	Emibetuzumab[1] (LY2875358) is a humanized monoclonal antibody designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Enavatuzumab[58]	TWEAK receptor	humanized	TNFRSF12A		mab	cancer etc.		Blood	Leukemia/leukocyte inhibitory factor (LIF)		
Enfortumab vedotin[59]	AGS-22M6	human	NECTIN4		mab	cancer expressing Nectin-4		Blood	Dusigitumab is a human monoclonal antibody designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Enoblituzumab[61]		humanized	CD276		mab	cancer		cancer	Enoblituzumab is a monoclonal antibody designed for the treatment of cancer		
Ensituximab[63]	5AC	chimeric	MUC5AC		mab	cancer		Skin-Head, Colon-Small_intestine, Pancreas	[1] The target of the antibody is uncertain and is described as "human colorectal and pancreatic carcinoma-associated antigens", a set of tumor antigens isolated from human cancers.The antibody was discovered by scientists at Neogenix Oncology using tumor antigens that had been identified years earlier by Ariel Hollinshead; the founder of Neogenix had founded a prior company based on Hollinshead's work as well.Ensituximab was granted orphan drug designation for pancreatic cancer by the FDA in 2010.[8] Results from a small Phase II trial in people with pancreatic or colon cancer presented in 2012 were not promising with regard to efficacy in treating pancreatic cancer.In 2016, Precision released data from a Phase II trial colorectal cancer and at that time was working with Cytovance Biologics as its contract manufacturing organization. "Novel Agents in Early Phase Clinical Studies on Refractory Pancreatic Cancer"		
Epratuzumab		humanized	CD22		mab	cancer, SLE		Blood	A clinical trial for relapsed adult acute lymphoblastic leukemia (ALL) has reported initial results.Results have been published for a phase II trial in untreated follicular lymphoma.Early results from a phase II trial for Diffuse large B-cell lymphoma (DLBCL) were encouraging.^ Epratuzumab, a humanized monoclonal antibody targeting CD22: characterization of in vitro properties Clinical Cancer Research Vol.^ Dose-Fractionated Radioimmunotherapy in Non-Hodgkin's Lymphoma Using DOTA-Conjugated, 90Y-Radiolabeled, Humanized Anti-CD22 Monoclonal Antibody, Epratuzumab Clinical Cancer Research Vol. "Epratuzumab with rituximab, cyclophosphamide, doxorubicin, vincristine, and prednisone chemotherapy in patients with previously untreated diffuse large B-cell lymphoma		
Ertumaxomab[22]	HER2/neu, CD3	rat/mouse hybrid	ERBB2	Rexomun	3funct	breast cancer etc.		Breast	Phase II clinical trial evaluating the treatment of breast cancer was terminated due to change in Fresenius' development plans.gov: Phase II Study With the Trifunctional Antibody Ertumaxomab to Treat Metastatic Breast Cancer After Progression on Trastuzumab Therapy		
Etaracizumab	integrin αvβ3	humanized	ITGB3	Abegrin	mab	melanoma, prostate cancer, ovarian cancer etc.		Ovary, Skin-Head, Prostate	Etaracizumab (also known as etaratuzumab[citation needed], MEDI-522, trade name Abegrin) is a humanized monoclonal antibody which is being investigated for the treatment of metastatic melanoma, prostate cancer,[1] ovarian cancer[2] and various other types of cancer. "Tumor-selective response to antibody-mediated targeting of alphavbeta3 integrin in ovarian cancer"		
Farletuzumab	folate receptor 1	humanized	FOLR1		mab	ovarian cancer		Ovary	Farletuzumab (MORAb-003) is a monoclonal antibody[1] which is being investigated for the treatment of ovarian cancer.It is targeted at FR-alpha which is overexpressed in some cancers such as ovarian cancer.gov: Phase II Efficacy and Safety Study of MORAb-003 in Platinum-Resistant or Refractory Relapsed Ovarian Cancer.gov: Phase III Efficacy and Safety of MORAb-003 in Subjects With Platinum-sensitive Ovarian Cancer in First Relapse		
FBTA05[71][72]	CD20	rat/mouse hybrid	MS4A1	Lymphomun	3funct	chronic lymphocytic leukaemia		Blood	Patients with B cell malignancies refractory to allogeneic stem cell transplantation (SCT) can be treated by subsequent immunotherapy with donor lymphocyte infusions (DLI). But unlike myeloid leukemia, B cell leukemia and lymphoma are less sensitive to allogeneic adoptive immunotherapy. Moreover, the beneficial graft-versus-lymphoma (GVL) effect may be associated with moderate to severe graft-versus-host disease (GVHD). Thus, novel therapeutic approaches augmenting the anti-tumor efficacy of DLI and dissociating the GVL effect from GVHD are needed. The anti-CD20 x anti-CD3 trifunctional bispecific antibody (trAb) FBTA05 may improve the targeting of tumor cells by redirecting immune allogeneic effector cells while reducing the risk of undesirable reactivity against normal host cells. Hence, FBTA05 may maximize GVL effects by simultaneously decreasing the incidence and severity of GVHD.  https://www.ncbi.nlm.nih.gov/pubmed/23815981		
Ficlatuzumab[76]		humanized	HGF		mab	cancer etc.		Lung	In May 2012, AVEO released results of a Phase II clinical trial comparing gefitinib alone and in combination with ficlatuzamab in treatment-naive Asian patients with non-small cell lung cancer		
Figitumumab	IGF-1 receptor (CD221)	human	IGF1R		mab	adrenocortical carcinoma, non-small cell lung carcinoma etc.		Adrenal, Lung, Breast	Figitumumab (previously CP-751871) is a monoclonal antibody[1] targeting the insulin-like growth factor-1 receptor that was investigated for the treatment of various types of cancer, for example adrenocortical carcinoma[2] and non-small cell lung cancer (NSCLC).It was to have been included in the I-SPY2 breast cancer trial. "Safety, tolerability, and pharmacokinetics of the anti-IGF-1R monoclonal antibody figitumumab in patients with refractory adrenocortical carcinoma". "Development of the monoclonal antibody figitumumab, targeting the insulin-like growth factor-1 receptor, for the treatment of patients with non-small-cell lung cancer". Clinical Lung Cancer. "Pfizer ends late-stage lung-cancer study".^ Clinical trial number NCT00635245 for "CP-751871 in Treating Women With Early-Stage Breast Cancer That Can Be Removed by Surgery" at ClinicalTrials.^ "Breast cancer study aims to speed drugs, cooperation"		
Flanvotumab[77]	TYRP1(glycoprotein 75)	human	TYRP1		mab	melanoma		Blood	Emibetuzumab[1] (LY2875358) is a humanized monoclonal antibody designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Fresolimumab	TGF-β	human	TGFB1		mab	idiopathic pulmonary fibrosis, focal segmental glomerulosclerosis, cancer		Skin-Head, Kidney	It is intended for the treatment of idiopathic pulmonary fibrosis (IPF), focal segmental glomerulosclerosis, and cancer[2][3] (kidney cancer and melanoma).As of June 2011[update] the drug was being tested in humans (clinical trials) against IPF, renal disease, and cancer		
Futuximab[51]		chimeric	EGFR		mab	cancer		Blood	Leukemia/leukocyte inhibitory factor (LIF)		
Galiximab		chimeric	CD80		mab	B-cell lymphoma		Blood	Galiximab is a monoclonal antibody designed for the treatment of B-cell lymphoma		
Ganitumab[82]	IGF-1 receptor (CD221)	human	IGF1R		mab	cancer		Pancreas	A phase III clinical trial (for metastatic pancreatic cancer) was abandoned in August 2012.^ "Amgen (AMGN) Terminates Ganitumab Pancreatic Cancer Trial"		
Gemtuzumab ozogamicin		humanized	CD33	Mylotarg	mab	acute myelogenous leukemia		Blood, Bone	Gemtuzumab ozogamicin (marketed by Wyeth as Mylotarg) is a drug-linked monoclonal antibody (an antibody-drug conjugate) that was used to treat acute myeloid leukemia from 2000 to 2010. It was withdrawn from market in June 2010 when a clinical trial showed the drug increased patient death and added no benefit over conventional cancer therapies. Serious side effects included severe myelosuppression (suppressed activity of bone marrow, which is involved in formation of various blood cells [found in 98% of patients]), disorder of the respiratory system, tumor lysis syndrome, Type III hypersensitivity, venous occlusion, and death.In the United States, it was approved under an accelerated-approval process by the FDA in 2000 for use in patients over the age of 60 with relapsed acute myelogenous leukemia (AML); or those who are not considered candidates for standard chemotherapy. "Approval summary: gemtuzumab ozogamicin in relapsed acute myeloid leukemia. Clin Cancer Res. Cancer.^ Pfizer pulls leukemia drug from U.Targeted cancer therapy / antineoplastic agents (L01).Leukemia/lymphoma		
Girentuximab	carbonic anhydrase 9 (CA-IX)	chimeric	CA9	Rencarex	mab	clear cell renal cell carcinoma		Kidney	[1] CAIX is expressed on the surface of most renal cancer cells and is hypothesized to be on the surface of other tumor cells. It is investigational agent in clinical trials for renal cell carcinoma. It was granted fast track status and orphan drug designation by the FDA for renal cancer. "Immunotherapeutic strategies for the treatment of renal cell carcinoma: where are we now?".^ Girentuximab (Rencarex) for renal cell carcinoma		
Glembatumumab vedotin[85][86]		human	GPNMB		mab	melanoma, breast cancer		Skin-Head, Breast	S FDA granted Fast Track designation to CDX-011 for the treatment of advanced, refractory, or resistant GPNMB-expressing breast cancer.In preclinical studies glembatumumab vedotin was capable of killing GPNMB expressing melanoma and breast cancer cells in vitro[4][5] and inducing partial or complete regression of GPNMB-expressing tumors in mouse models. In 2015, Celldex announced that it had formed a cooperative research and development agreement with NCI to sponsor two clinical trials for uveal melanoma and pediatric osteosarcoma.In September 2010 a Phase 2b clinical study started of glembatumumab vedotin in 120 patients with GPNMB-expressing breast cancer including those with triple negative breast cancer.As of June 2011[update], Phase I/II clinical trials of glembatumumab vedotin for the treatment of advanced melanoma[8] and breast cancer[9] have been completed but no official study result was posted.[10] Patients whose tumors express GPNMB respond better to glembatumumab and have longer progression-free survival than those whose tumors do not express GPNMB; in melanoma,[11] and breast cancer.An accelerated approval Phase II clinical trial (METRIC) investigating glembatumumab vedotin versus capecitabine (2:1 with crossover allowed) has begun in November 2013, expected to enroll 300 patients with GPNMB-expressing metastatic triple negative breast cancer.^ "Celldex Therapeutics Announces Initiation Of Randomized Phase 2b Clinical Trial Of CDX-011 In Advanced Breast Cancer".^ a b "CuraGen Announces Expansion Of CR011-vcMMAE Phase II Trial In Advanced Breast Cancer". "Glycoprotein Nonmetastatic B Is an Independent Prognostic Indicator of Recurrence and a Novel Therapeutic Target in Breast Cancer".^ Clinical trial number NCT00704158 for "Study of CR011-vcMMAE to Treat Locally Advanced or Metastatic Breast Cancer" at ClinicalTrials.^ "Celldex Therapeutics Presents Positive Results From Phase 2 Study Of The Antibody-Drug Conjugate Product Candidate CDX-011 In Advanced Breast Cancer".^ Clinical trial number NCT01997333 for "Study of Glembatumumab Vedotin (CDX-011) in Patients With Metastatic, gpNMB Over-Expressing, Triple Negative Breast Cancer (METRIC)" at ClinicalTrials		
Icrucumab[88]	VEGFR-1	human	VEGFB		mab	cancer etc.		Blood	A clinical trial for relapsed adult acute lymphoblastic leukemia (ALL) has reported initial results.Results have been published for a phase II trial in untreated follicular lymphoma.Early results from a phase II trial for Diffuse large B-cell lymphoma (DLBCL) were encouraging.^ Dose-Fractionated Radioimmunotherapy in Non-Hodgkin's Lymphoma Using DOTA-Conjugated, 90Y-Radiolabeled, Humanized Anti-CD22 Monoclonal Antibody, Epratuzumab Clinical Cancer Research Vol. "Epratuzumab with rituximab, cyclophosphamide, doxorubicin, vincristine, and prednisone chemotherapy in patients with previously untreated diffuse large B-cell lymphoma		
IMAB362	CLDN18.2	human	CLDN18		mab	gastrointestinal adenocarcinomas and pancreatic tumor		Stomach, Colon-Small_intestine, Pancreas	It is under investigation for the treatment of gastrointestinal adenocarcinomas and pancreatic tumors.Preliminary results from the phase II 'FAST' trial in June 2016 suggest it is helpful for advanced gastric cancer (and a phase III trial will be planned).^ Antibody Shines in Advanced Gastric Cancer - IMAB362 leads to longer remission, better survival		
Imalumab[23]		human	MIF		mab	cancer		Colon-Small_intestine	[1][2] Phase I studies were completed in early 2016,[3] and as of January 2017 it is being tested in Phase IIa clinical trials for metastatic colorectal cancer		
Imgatuzumab[51]		humanized	EGFR		mab	cancer		Blood	Imgatuzumab (INN) is a humanized monoclonal antibody designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Indatuximab ravtansine[30]		chimeric	SDC1		mab	cancer		Bladder, Breast	As of December 2014[update] it is in clinical trials for triple negative metastatic breast cancer and metastatic urinary bladder cancer		
Indusatumab vedotin[20]		human	GUCY2C		mab	cancer		Stomach, Colon-Small_intestine, Pancreas	Indusatumab vedotin (MLN-0264) is an antibody-drug conjugate that is under development for the treatment of pancreatic cancer[1] and other gastrointestinal cancers.^ a b Clinical trial number NCT02202785 for "A Study of MLN0264 in Patients With Pancreatic Cancer" at ClinicalTrials.^ a b Clinical trial number NCT02202759 for "A Study of MLN0264 in Patients With Cancer of the Stomach or Gastroesophageal Junction" at ClinicalTrials		
Inebilizumab		humanized	CD19		mab	cancer, systemic sclerosis, multiple sclerosis		Blood	Leukemia inhibitory factor (LIF)		
Intetumumab[89][90][91]	CD51	human	ITGAV		mab	solid tumors (prostate cancer, melanoma)		Skin-Head, Prostate	Phase II clinical trials for treatment of melanoma and prostate cancer were in progress when development of the drug was discontinued		
Ipilimumab[45]	CD152	human	CTLA4	Yervoy	mab	melanoma		Colon-Small_intestine, Bladder, Skin-Head, Lung, Ovary, Prostate, Kidney	FDA in 2011 for the treatment of melanoma, a type of skin cancer.[4][5] It is undergoing clinical trials for the treatment of non-small cell lung carcinoma (NSCLC), small cell lung cancer (SCLC),[6] bladder cancer[7] and metastatic hormone-refractory prostate cancer.2 Prostate cancer.3 Lung cancer.4 Bladder cancer.[16] On February 1, 2012, Health Canada approved ipilimumab for "treatment of unresectable or metastatic melanoma in patients who have failed or do not tolerate other systemic therapy for advanced disease."[17] Ipilimumab was approved in the European Union (EU), for second line treatment of metastatic melanoma in November 2012. In melanoma and certain other cancers, the numbers of mutations and neoantigens correlate with patient response.In the 2000s, ipilimumab clinical trials were under way on patients with melanoma, renal cell carcinoma, prostate cancers, urothelial carcinoma and ovarian cancer.[40] The three studies tested 487 patients with advanced skin cancer.Prostate cancer[edit].In 2008/09 Medarex performed a phase I/II dose escalation clinical trial of ipilimumab in metastatic hormone-refractory prostate cancer (HRPC). Some of the patients with advanced prostate cancer had their tumors drastically shrink, promoting further trials.On June 19, 2009, the Mayo Clinic reported two prostate cancer patients involved in a phase II study using MDX-010 therapy who had been told initially that their condition was inoperable but had their tumors shrunk by the drug such that operation was possible and are now cancer-free as a result.In 2016, a phase II study using ipilimumab and nivolumab in AR-V7-expressing metastatic castration-resistant prostate cancer was opened.[49][50] AR-V7 is an androgen receptor splice variant that can be detected in circulating tumor cells of metastatic prostate cancer patients.Lung cancer[edit].Medarex ran a phase II trial of ipilimumab in addition to platinum-based chemotherapy (carboplatin) in patients with small cell and non-small cell lung cancer.Bladder cancer[edit].gov Phase II Study for Previously Untreated Subjects With Non Small Cell Lung Cancer (NSCLC) or Small Cell Lung Cancer (SCLC).gov Phase I/II Study of MDX-010 in Patients With Metastatic Hormone-Refractory Prostate Cancer (MDX010-21) (COMPLETED). "FDA approves new treatment for a type of late-stage skin cancer" (Press release). "Metastatic melanoma - a review of current and future treatment options". "What is the role of cytotoxic T lymphocyte-associated antigen 4 blockade in patients with metastatic melanoma?". "Targeting metastatic melanoma".^ "Top-Line Data Available from Three Ipilimumab Pivotal Trials in Patients with Advanced Metastatic Melanoma".^ "Phase 3 clinical study: Ipilimumab boosts, sustains immune system responses against melanoma tumors".^ "Mayo Researchers: Dramatic Outcomes in Prostate Cancer Study". "New Therapy May Fight Prostate Cancer". "Medarex, Ipilimumab, Prostate Cancer, And Reality".^ "Biomarker-Driven Therapy With Nivolumab and Ipilimumab in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer Expressing AR-V7 - Full Text View - ClinicalTrials. "Novel Insights into Molecular Indicators of Response and Resistance to Modern Androgen-Axis Therapies in Prostate Cancer". "AR-V7 and Resistance to Enzalutamide and Abiraterone in Prostate Cancer".^ "Data Presented at AACR Support Potential of Peregrine's PS-Targeting Immunotherapy Bavituximab to Enhance Anti-Tumor and Immune-Stimulating Effects of Anti-CTLA-4 and Anti-PD-1 Treatments in Models of Melanoma and Colon Cancer"		
Iratumumab[45]	CD30 (TNFRSF8)	human	TNFRSF8		mab	Hodgkin's lymphoma		Blood	Futuximab (INN) is a chimeric monoclonal antibody designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Isatuximab[92]		chimeric	CD38		mab	cancer		Blood	Galiximab is a monoclonal antibody designed for the treatment of B-cell lymphoma		
Labetuzumab[55]	CEA	humanized	IGFL3	CEA-Cide	mab	colorectal cancer		Colon-Small_intestine	Labetuzumab (marketed under the trade name CEA-CIDE) is a humanized IgG1 monoclonal antibody for the treatment of colorectal cancer		
Lexatumumab[2]	TRAIL-R2	human	TNFRSF10B		mab	cancer		Blood, Bone	Gemtuzumab ozogamicin (marketed by Wyeth as Mylotarg) is a drug-linked monoclonal antibody (an antibody-drug conjugate) that was used to treat acute myeloid leukemia from 2000 to 2010. It was withdrawn from market in June 2010 when a clinical trial showed the drug increased patient death and added no benefit over conventional cancer therapies. Serious side effects included severe myelosuppression (suppressed activity of bone marrow, which is involved in formation of various blood cells [found in 98% of patients]), disorder of the respiratory system, tumor lysis syndrome, Type III hypersensitivity, venous occlusion, and death.In the United States, it was approved under an accelerated-approval process by the FDA in 2000 for use in patients over the age of 60 with relapsed acute myelogenous leukemia (AML); or those who are not considered candidates for standard chemotherapy. "Approval summary: gemtuzumab ozogamicin in relapsed acute myeloid leukemia.^ Pfizer pulls leukemia drug from U.Targeted cancer therapy / antineoplastic agents (L01).Leukemia/lymphoma		
Lifastuzumab vedotin	phosphate-sodium co-transporter	humanized	SLC34A2		mab	cancer		Blood	Leukemia inhibitory factor (LIF)		
Lintuzumab		humanized	CD33		mab	cancer		Blood	Imgatuzumab (INN) is a humanized monoclonal antibody designed for the treatment of cancer.Leukemia inhibitory factor (LIF)		
Lirilumab	KIR2D	human	KIR2DL3		mab	solid and hematological cancers		Blood	Iratumumab is a human monoclonal antibody used in the treatment of oncological diseases such as relapsed refractory CD30-positive lymphoma including Hodgkin's disease.The FDA granted orphan drug designation for Hodgkin's lymphoma in 2004		
Lirilumab	KIR2D	human	KIR2DL1		mab	solid and hematological cancers		cancer	Inebilizumab (INN) is a humanized monoclonal antibody designed for the treatment of cancer, systemic sclerosis and multiple sclerosis		
Lorvotuzumab mertansine	CD56	humanized	NCAM1		mab	cancer		Ovary, Lung	small-cell lung cancer, ovarian cancer).It has reported encouraging Phase II results for small-cell lung cancer.^ "ImmunoGen Announces Encouraging New Clinical Data With The Company’s IMGN901 Compound In The Treatment Of Small-Cell Lung Cancer"		
Lucatumumab[10]		human	CD40		mab	multiple myeloma, non-Hodgkin's lymphoma, Hodgkin's lymphoma		Blood	Isatuximab is a monoclonal antibody (mAb) designed for the treatment of cancer.[3] As of 2015[update], it is in phase II trials for multiple myeloma[4] and T-cell leukemia.^ Clinical trial number NCT02999633 for "Safety and Efficacy of Isatuximab in Lymphoblastic Leukemia" at ClinicalTrials		
Lumiliximab[6]	CD23 (IgE receptor)	chimeric	FCER1G		mab	chronic lymphocytic leukemia		Blood	It was investigated in Phase II/III clinical trials for the treatment of chronic lymphocytic leukemia. "Phase 1/2 study of lumiliximab combined with fludarabine, cyclophosphamide, and rituximab in patients with relapsed or refractory chronic lymphocytic leukemia"		
Lumretuzumab[23]	ERBB3 (HER3)	humanized	ERBB3		mab	cancer		cancer	Lumretuzumab (INN) is a humanized monoclonal antibody designed for the treatment of cancer		
MABp1		human	IL1A	Xilonix	mab	colorectal cancer		Colon-Small_intestine	[1] As of March 2017[update], MABp1 is in phase III clinical trials as an immunotherapy for colorectal cancer.^ "A Phase III Study of Xilonix in Patients With Advanced Colorectal Cancer (XCITE)"		
Mapatumumab[22]	TRAIL-R1	human	TNFRSF10A		mab	cancer		Ovary, Lung, Liver, Colon-Small_intestine	2 Non-small-cell lung cancer.3 Liver cancer.[3] In a phase 2 clinical trial, mapatumumab was well tolerated and could be administered safely in patients with advanced non-small-cell lung cancer (NSCLC) and advanced colorectal cancer.[6] The results of a phase 2 clinical trial demonstrated that mapatumumab was well tolerated and capable of producing clinical responses when administered as monotherapy in patients with advanced non-Hodgkin’s lymphoma, according to HGS.Non-small-cell lung cancer[edit]. initial dosing of patients in a randomized Phase 2 trial of HGS-ETR1 (10 mg/kg or 30 mg/kg) in combination with paclitaxel and carboplatin as first-line therapy in patients with advanced non-small-cell lung cancer (NSCLC); initial data from the study are anticipated in 2009.Liver cancer[edit]. a randomized Phase 2 trial of HGS-ETR1 in combination with Nexavar (sorafenib) in patients with advanced hepatocellular cancer, which accounts for 80-90% of all liver cancers.^ "Human Genome Sciences reports results of phase 2 clinical trial of HGS-ETR1 in patients with non-small-cell lung cancer".^ "Human Genome Sciences reports results of phase 2 clinical trial of HGS-ETR1 in patients with advanced colorectal cancer"		
Margetuximab	ch4D5	humanized	ERBB2		mab	cancer		Stomach, Breast	It is currently in phase 3 clinical trials for combination therapy in metastatic breast cancer[5] in collaboration with Merck.[6] Phase II trials are also in progress for gastric cancer and esophageal cancer.^ Pegram Discusses Promise of Margetuximab/Chemo Combo for HER2+ Breast Cancer		
Matuzumab[19]		humanized	EGFR		mab	colorectal, lung and stomach cancer		Lung, Esophagus, Stomach, Colon-Small_intestine	Produced and developed by Merck Serono in cooperation with Takeda Pharmaceutical, it has undergone phase II clinical trials for the treatment of colorectal, lung,[3] esophageal and stomach cancer[4] early in the 2000s. In August 2007, Merck Serono announced that the preliminary results of the colorectal cancer study were less than promising, and that further trials for treating this type of cancer may be abandoned.1 Advanced non-smallcellular lung carcinoma.2 Advanced adenocarcinomas of stomach and esophagus.After determining the pharmacokinetic characteristics in a phase I study,[9] several phase II studies investigating the treatment of advanced stomach carcinoma were conducted.Advanced non-smallcellular lung carcinoma[edit].Mutations in the kinase domain of the EGFR are observed with approximately 2 to 25% of non-small cell lung carcinoma (NSCLC) patients.Advanced adenocarcinomas of stomach and esophagus[edit].On August 27, 2007 Merck announced that matuzumab will not be used for intestinal cancer due to negative results in phase II studies.^ Clinical trial number NCT00111839 for "Effects of Matuzumab in Combination With Pemetrexed for the Treatment of Advanced Lung Cancer" at ClinicalTrials.^ Clinical trial number NCT00215644 for "MATRIX EG (Matuzumab Treatment With ECX in Esophago-Gastric Cancer)" at ClinicalTrials. "Phase I study of epirubicin, cisplatin and capecitabine plus matuzumab in previously untreated patients with advanced oesophagogastric cancer"		
Milatuzumab[10]		humanized	CD74		mab	multiple myeloma and other hematological malignancies		Blood, Bone	Lintuzumab (SGN-33) is a humanized monoclonal antibody used in the treatment of cancer. The drug had been developed by Seattle Genetics as a treatment for acute myeloid leukemia (AML), a condition which results in the deaths of 9,000 people a year in the United States. Lintuzumab would have been the first medication on the market for the treatment of acute myeloid leukemia, a condition that strikes 12,000 Americans each year, in which the body produces excessive numbers of abnormal white blood cells that accumulate in bone marrow and interfere with the production of normal blood cells. AML is the most common form of acute leukemia affecting adults, and its incidence increases with age. "Leukemia Drug Trial Fails", The New York Times, September 13, 2010.Feldman, Ej; Brandwein, J; Stone, R; Kalaycio, M; Moore, J; O'Connor, J; Wedel, N; Roboz, Gj; Miller, C; Chopra, R; Jurcic, Jc; Brown, R; Ehmann, Wc; Schulman, P; Frankel, Sr; De, Angelo, D; Scheinberg, D (Jun 2005), "Phase III randomized multicenter study of a humanized anti-CD33 monoclonal antibody, lintuzumab, in combination with chemotherapy, versus chemotherapy alone in patients with refractory or first-relapsed acute myeloid leukemia", Journal of Clinical Oncology, 23 (18): 4110–6, ISSN 0732-183X, PMID 15961759, doi:10		
Mirvetuximab soravtansine[100]	folate receptor alpha	chimeric	FOLR1		mab	cancer		Ovary, Stomach, Liver	The antibody serves to deliver the cell-killing agent specifically to cancer cells bearing its target and the payload serves to kill these cells.[8][9] In October 2015, the company disclosed that Kadcyla had failed to meet its primary endpoint in the Phase II/III GATSBY trial investigating the second line treatment of HER2-positive advanced gastric cancer.^ Phase 1 study of IMGN853, a folate receptor alpha (FRα)-targeting antibody-drug conjugate (ADC) in patients (Pts) with epithelial ovarian cancer (EOC) and other FRA-positive solid tumors.com/gen-news-highlights/roche-s-kadcyla-fails-phase-ii-iii-trial-for-gastric-cancer/81251888/		
Mogamulizumab		humanized	CCR4		mab	cancer		Blood	Lirilumab (INN) is a human monoclonal antibody designed for the treatment of cancer.A phase 2 clinical trial for acute myeloid leukemia (AML) was terminated early ("failed") in 2017.^ Innate Pharma Leukemia Candidate Lirilumab Fails Phase II Trial		
Narnatumab[104]	RON	human	CD22		mab	cancer		Blood	Lirilumab (INN) is a human monoclonal antibody designed for the treatment of cancer.A phase 2 clinical trial for acute myeloid leukemia (AML) was terminated early ("failed") in 2017.^ Innate Pharma Leukemia Candidate Lirilumab Fails Phase II Trial		
Necitumumab[105]		human	EGFR		mab	non-small cell lung carcinoma		Lung	[1] The US FDA approved necitumumab under the brand name Portrazza for use with gemcitabine and cisplatin in previously untreated metastatic squamous non-small-cell lung carcinoma (NSCLC).[2][3][4] It was counterproductive in non-squamous non-small-cell lung carcinoma		
Nesvacumab	angiopoietin 2	human	ANGPT2		mab	cancer		Blood	12 or HCD122)[1] is a human monoclonal antibody against CD40[2] development of which was discontinued by Novartis in 2013 after it was investigated for the treatment of various types of cancer like multiple myeloma and follicular lymphoma.Over three Phase 1 trials in multiple myeloma and chronic lymphocytic leukemia, the companies made an effort to determine the optimal dose, and obtained unclear results. "Anti-CD40-mediated cancer immunotherapy: an update of recent and ongoing clinical trials.12, Inhibit the Proliferation of Human B Cell Non-Hodgkin’s Lymphoma		
